company_name,cik,pre_ipo_patent_count
"Global Blood Therapeutics, Inc.",0001629137,15
"Dance Biopharm, Inc.",0001596126,3
"Surface Oncology, Inc.",0001718108,4
Centrexion Therapeutics Corp,0001592052,12
Regulus Therapeutics Inc.,0001505512,19
"AKCEA THERAPEUTICS, INC.",0001662524,0
"Kite Pharma, Inc.",0001510580,0
"Accelerated Pharma, Inc.",0001630970,0
"Versartis, Inc.",0001513818,0
"ARATANA THERAPEUTICS, INC.",0001509190,2
"Eidos Therapeutics, Inc.",0001731831,1
"MICROLIN BIO, INC.",0001590930,0
MyoKardia Inc,0001552451,3
"Epizyme, Inc.",0001571498,11
"Hoth Therapeutics, Inc.",0001711786,0
TCR2 THERAPEUTICS INC.,0001750019,3
"CohBar, Inc.",0001522602,0
Cerecor Inc.,0001534120,4
"Provention Bio, Inc.",0001695357,0
"Tricida, Inc.",0001595585,5
"Corium International, Inc.",0001594337,51
"ALZHEON, INC.",0001582636,3
"S1 Biopharma, Inc.",0001613723,1
Zosano Pharma Corp,0001587221,0
"Mirna Therapeutics, Inc.",0001527599,8
"Loxo Oncology, Inc.",0001581720,0
"Ruthigen, Inc.",0001574235,0
"Peloton Therapeutics, Inc.",0001525145,13
"Cortexyme, Inc.",0001662774,6
"Translate Bio, Inc.",0001693415,54
"Sun BioPharma, Inc.",0001029125,0
"Vyrix Pharmaceuticals, Inc.",0001602413,0
"Synthorx, Inc.",0001609727,0
"Morphic Holding, Inc.",0001679363,5
Entasis Therapeutics Holdings Inc.,0001724344,10
"AVROBIO, Inc.",0001681087,0
Axovant Sciences Ltd.,0001636050,1
"Civitas Therapeutics, Inc.",0001509697,22
HOOKIPA Pharma Inc.,0001760542,0
"Forty Seven, Inc.",0001667633,2
Sunset Island Group,0001689066,0
Gemphire Therapeutics Inc.,0001638287,2
"LogicBio Therapeutics, Inc.",0001664106,0
Angion Biomedica Corp.,0001601485,21
"89bio, Inc.",0001785173,6
"Spark Therapeutics, Inc.",0001609351,0
"Avalanche Biotechnologies, Inc.",0001501756,0
Dermavant Sciences Ltd,0001753483,6
SOPHIRIS BIO INC.,0001563855,2
Beam Therapeutics Inc.,0001745999,0
Viamet Pharmaceuticals Holdings LLC,0001538928,19
"Aridis Pharmaceuticals, Inc.",0001614067,9
"Gritstone Oncology, Inc.",0001656634,3
"Viela Bio, Inc.",0001734517,3
"Aeglea BioTherapeutics, Inc.",0001636282,0
Aptinyx Inc.,0001674365,20
"Codiak BioSciences, Inc.",0001659352,7
"Cirius Therapeutics, Inc.",0001702956,0
"Deciphera Pharmaceuticals, Inc.",0001654151,31
"Jounce Therapeutics, Inc.",0001640455,3
"Lumena Pharmaceuticals, Inc.",0001513157,0
"RAPT Therapeutics, Inc.",0001673772,5
"Rubius Therapeutics, Inc.",0001709401,9
Blueprint Medicines Corp,0001597264,9
"Dova Pharmaceuticals, Inc.",0001685071,0
"Inpellis, Inc.",0001638851,0
SteadyMed Ltd.,0001619087,9
"Dermira, Inc.",0001557883,7
"Cidara Therapeutics, Inc.",0001610618,2
"resTORbio, Inc.",0001720580,0
"Aimmune Therapeutics, Inc.",0001631650,2
"Harpoon Therapeutics, Inc.",0001708493,10
Nexvet Biopharma plc,0001618561,0
"Neon Therapeutics, Inc.",0001694187,0
