cik,company_name,ticker,ipo_date,ipo_year,founding_year,years_to_ipo,total_pre_ipo_capital_m,num_rounds_detected,capital_efficiency_m,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pipeline_concentration,pre_ipo_had_terminated_or_withdrawn,pre_ipo_patent_count,ip_density,pubmed_pre_ipo_count,bucket,exit_reason,exit_subtype,sic,sic_description
0001937653,Zymeworks Inc,ZYME,2017-04-28,2017.0,2003.0,14.0,,0,,0,,0,,False,35,inf,6,actively_filing,,,2834.0,Pharmaceutical Preparations
0001677940,Beyondspring Inc,BYSI,2017-03-09,2017.0,2014.0,3.0,,0,,1,3.0,1,1.0,False,6,6.0,1,actively_filing,,,2834.0,Pharmaceutical Preparations
0001370053,AnaptysBio Inc,ANAB,2017-01-26,2017.0,2005.0,12.0,40.8,2,3.4,0,,0,,False,13,inf,13,actively_filing,,,2834.0,Pharmaceutical Preparations
0001651625,AC Immune SA,ACIU,2016-09-23,2016.0,2003.0,13.0,,0,,1,1.0,1,1.0,False,37,37.0,0,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001377121,Protagonist Therapeutics Inc,PTGX,2016-08-11,2016.0,2006.0,10.0,57.5,2,5.75,0,,0,,False,7,inf,7,actively_filing,,,2834.0,Pharmaceutical Preparations
0001659617,Moleculin Biotech Inc,MBRX,2016-06-02,2016.0,2015.0,1.0,,0,,0,,0,,False,0,,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001626971,Corvus Pharmaceuticals Inc,CRVS,2016-03-23,2016.0,2014.0,2.0,74.8,2,37.4,1,1.0,2,0.5,False,4,4.0,4,actively_filing,,,2834.0,Pharmaceutical Preparations
0001650664,Editas Medicine Inc,EDIT,2016-02-03,2016.0,2013.0,3.0,138.1,2,46.03,0,,0,,False,3,inf,0,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001557746,Aclaris Therapeutics Inc,ACRS,2015-10-07,2015.0,2012.0,3.0,,0,,3,2.0,2,1.5,False,1,0.333,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001267565,Collegium Pharmaceutical Inc,COLL,2015-05-07,2015.0,2002.0,13.0,50.0,3,3.85,1,3.0,1,1.0,False,19,19.0,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001609809,Seres Therapeutics Inc,MCRB,2015-06-26,2015.0,2010.0,5.0,124.0,3,24.8,1,2.0,1,1.0,False,7,7.0,17,actively_filing,,,2834.0,Pharmaceutical Preparations
0001641489,vTv Therapeutics Inc,VTVT,2015-07-30,2015.0,1998.0,17.0,,0,,8,3.0,8,1.0,True,13,1.625,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001590877,Regenxbio Inc,RGNX,2015-09-17,2015.0,2008.0,7.0,5.9,2,0.84,0,,0,,False,1,inf,0,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001501989,CytomX Therapeutics Inc,CTMX,2015-10-08,2015.0,2008.0,7.0,70.0,3,10.0,0,,0,,False,25,inf,7,actively_filing,,,2834.0,Pharmaceutical Preparations
0001631574,WaVe Life Sciences Ltd,WVE,2015-11-11,2015.0,2012.0,3.0,265.2,1,88.4,0,,0,,False,6,inf,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001640266,Voyager Therapeutics Inc,VYGR,2015-11-11,2015.0,2013.0,2.0,30.0,2,15.0,0,,0,,False,2,inf,82,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001579428,Axsome Therapeutics Inc,AXSM,2015-11-19,2015.0,2012.0,3.0,33.8,1,11.27,1,3.0,2,0.5,False,0,0.0,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001535955,Lipocine Inc.,,2013-09-27,,,,,0,,0,,0,,False,18,inf,2,actively_filing,,,2834.0,Pharmaceutical Preparations
0001540159,"Stellar Biotechnologies, Inc.",,2016-09-29,,,,,0,,0,,0,,False,0,,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001683743,LBC Bioscience Inc.,,2017-10-02,,,,,0,,0,,0,,False,0,,86,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001643848,Patheon N.V.,,2016-07-22,,,,,0,,0,,0,,False,0,,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001584137,"Oncolix, Inc.",,2017-11-30,,,,,0,,1,1.0,3,0.33,False,5,5.0,0,stalled_filing,acquisition,,2834.0,Pharmaceutical Preparations
0001588172,Aptalis Holdings Inc.,,2013-12-26,,,,,0,,0,,0,,False,11,inf,1,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001661460,"Poseida Therapeutics, Inc.",,2020-07-10,,,,33.3,2,,3,2.0,18,0.17,True,11,3.667,8,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001509261,"AntriaBio, Inc.",,2011-08-15,,,,,0,,0,,0,,False,1,inf,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001544238,"CARDAX, INC.",,2014-12-02,,,,,0,,0,,0,,False,14,inf,1,stalled_filing,acquisition,,2834.0,Pharmaceutical Preparations
0001513856,"Neurotrope, Inc.",,2015-02-12,,,,,0,,1,2.0,1,1.0,True,0,0.0,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001537663,"Health-Right Discoveries, Inc.",,2015-09-09,,,,,0,,0,,0,,False,0,,0,stalled_filing,acquisition,,2834.0,Pharmaceutical Preparations
0001739426,Osmotica Pharmaceuticals plc,,2018-10-19,,,,,0,,0,,0,,False,0,,0,deregistered_or_delisted,bankruptcy,,2834.0,Pharmaceutical Preparations
0001660719,Aralez Pharmaceuticals Inc.,,2015-12-28,,,,12.0,1,,0,,0,,False,1,inf,0,deregistered_or_delisted,bankruptcy,,2834.0,Pharmaceutical Preparations
0001557421,"Ignyta, Inc.",,2013-01-09,,,,,0,,0,,0,,False,0,,1,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001685462,"Shuttle Pharmaceuticals, Inc.",,2016-12-09,,,,,0,,0,,0,,False,0,,29,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001559149,"PAR PHARMACEUTICAL HOLDINGS, INC.",,2015-03-13,,,,,0,,35,3.0,12,2.92,True,87,2.486,955,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001595893,"Turning Point Therapeutics, Inc.",,2019-04-18,,,,295.0,2,,1,2.0,2,0.5,False,2,2.0,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001659323,Iterum Therapeutics Ltd,,2018-05-25,,,,,0,,1,4.0,2,0.5,False,0,0.0,2,deregistered_or_delisted,bankruptcy,,2834.0,Pharmaceutical Preparations
