company_name,cik,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pre_ipo_had_terminated_or_withdrawn
Gemphire Therapeutics Inc.,0001638287,0,,0,False
"LogicBio Therapeutics, Inc.",0001664106,0,,0,False
Angion Biomedica Corp.,0001601485,7,3.0,6,True
"89bio, Inc.",0001785173,1,2.0,1,False
"Spark Therapeutics, Inc.",0001609351,6,3.0,5,True
"Avalanche Biotechnologies, Inc.",0001501756,0,,0,False
Dermavant Sciences Ltd,0001753483,3,2.0,1,False
SOPHIRIS BIO INC.,0001563855,5,2.0,4,True
Beam Therapeutics Inc.,0001745999,0,,0,False
Viamet Pharmaceuticals Holdings LLC,0001538928,0,,0,False
"Aridis Pharmaceuticals, Inc.",0001614067,3,2.0,3,False
"Gritstone Oncology, Inc.",0001656634,0,,0,False
"Viela Bio, Inc.",0001734517,0,,0,False
"Aeglea BioTherapeutics, Inc.",0001636282,1,2.0,1,False
Aptinyx Inc.,0001674365,3,2.0,3,False
"Codiak BioSciences, Inc.",0001659352,1,2.0,1,False
"Cirius Therapeutics, Inc.",0001702956,1,2.0,3,False
"Deciphera Pharmaceuticals, Inc.",0001654151,4,2.0,13,True
"Jounce Therapeutics, Inc.",0001640455,1,2.0,1,False
"Lumena Pharmaceuticals, Inc.",0001513157,0,,0,False
"RAPT Therapeutics, Inc.",0001673772,3,2.0,3,True
"Rubius Therapeutics, Inc.",0001709401,0,,0,False
Blueprint Medicines Corp,0001597264,0,,0,False
"Dova Pharmaceuticals, Inc.",0001685071,0,,0,False
"Inpellis, Inc.",0001638851,0,,0,False
SteadyMed Ltd.,0001619087,0,,0,False
"Dermira, Inc.",0001557883,6,2.0,5,False
"Cidara Therapeutics, Inc.",0001610618,0,,0,False
"resTORbio, Inc.",0001720580,1,2.0,1,False
"Aimmune Therapeutics, Inc.",0001631650,2,2.0,1,False
"Harpoon Therapeutics, Inc.",0001708493,0,,0,False
Nexvet Biopharma plc,0001618561,0,,0,False
"Neon Therapeutics, Inc.",0001694187,0,,0,False
Myovant Sciences Ltd.,0001679082,1,1.0,1,False
"Satsuma Pharmaceuticals, Inc.",0001692830,2,3.0,3,False
"bluebird bio, Inc.",0001293971,0,,0,False
"Menlo Therapeutics, Inc.",0001566044,0,,0,False
"Oyster Point Pharma, Inc.",0001720725,8,3.0,4,False
"Kaleido Biosciences, Inc.",0001751299,6,-1.0,3,False
Applied Therapeutics Inc.,0001697532,0,,0,False
"Dimension Therapeutics, Inc.",0001592288,0,,0,False
"Homology Medicines, Inc.",0001661998,0,,0,False
"Akero Therapeutics, Inc.",0001744659,1,2.0,1,False
"Allena Pharmaceuticals, Inc.",0001624658,4,2.0,5,False
"Audentes Therapeutics, Inc.",0001628738,0,,0,False
"IASO BioMed, Inc.",0001662907,0,,0,False
"Insys Therapeutics, Inc.",0001516479,25,3.0,20,True
"Karuna Therapeutics, Inc.",0001771917,0,,0,False
"Magenta Therapeutics, Inc.",0001690585,1,2.0,1,False
"Novan, Inc.",0001467154,15,3.0,5,False
PDS Biotechnology Corp,0001472091,1,1.0,1,False
"Dipexium Pharmaceuticals, LLC",0001497504,0,,0,False
"CEMPRA, INC.",0001461993,0,,0,False
"TESARO, Inc.",0001491576,7,3.0,8,True
Pfenex Inc.,0001478121,1,2.0,1,False
CONTRAFECT Corp,0001478069,0,,0,False
"HEAT BIOLOGICS, INC.",0001476963,1,2.0,1,True
"Calithera Biosciences, Inc.",0001496671,6,2.0,20,False
"Clovis Oncology, Inc.",0001466301,3,2.0,2,False
"OptiNose, Inc.",0001494650,9,3.0,8,False
"Revance Therapeutics, Inc.",0001479290,11,3.0,4,True
"Omthera Pharmaceuticals, Inc.",0001477598,0,,0,False
"Otonomy, Inc.",0001493566,5,3.0,3,False
"Arsanis, Inc.",0001501697,1,2.0,2,True
"IGM Biosciences, Inc.",0001496323,0,,0,False
"Eleven Biotherapeutics, Inc.",0001485003,4,3.0,4,False
"Ra Pharmaceuticals, Inc.",0001481512,0,,0,False
"Unity Biotechnology, Inc.",0001463361,1,-1.0,1,False
"Receptos, Inc.",0001463729,0,,0,False
"Annovis Bio, Inc.",0001477845,2,2.0,2,True
"Cancer Prevention Pharmaceuticals, Inc.",0001471002,3,3.0,2,True
"Neos Therapeutics, Inc.",0001467652,1,3.0,1,False
"ZS Pharma, Inc.",0001459266,5,4.0,3,True
PORTOLA PHARMACEUTICALS INC,0001269021,14,3.0,10,True
DiaMedica Therapeutics Inc.,0001401040,3,2.0,3,False
KOLLTAN PHARMACEUTICALS INC,0001442835,0,,0,False
ACCELERON PHARMA INC,0001280600,0,,0,False
"Novus Therapeutics, Inc.",0001404281,0,,0,False
"CoLucid Pharmaceuticals, Inc.",0001348649,0,,0,False
MERRIMACK PHARMACEUTICALS INC,0001274792,18,3.0,27,False
"AQUINOX PHARMACEUTICALS, INC",0001404644,2,2.0,3,False
Celladon Corp,0001305253,2,2.0,6,False
Immune Design Corp.,0001437786,0,,0,False
"ADURO BIOTECH, INC.",0001435049,3,2.0,3,False
Regado Biosciences Inc,0001311596,3,2.0,3,False
"PROTEOSTASIS THERAPEUTICS, INC.",0001445283,0,,0,False
EYEGATE PHARMACEUTICALS INC,0001372514,6,3.0,6,False
SELECTA BIOSCIENCES INC,0001453687,3,1.0,2,False
"Mersana Therapeutics, Inc.",0001442836,3,1.0,6,False
PhaseBio Pharmaceuticals Inc,0001169245,11,2.0,6,True
"Visterra, Inc.",0001426375,2,2.0,1,False
"Athenex, Inc.",0001300699,11,3.0,10,False
TREVENA INC,0001429560,5,2.0,5,False
"Auspex Pharmaceuticals, Inc.",0001454189,1,3.0,1,False
"Rib-X Pharmaceuticals, Inc.",0001164994,0,,0,False
CATABASIS PHARMACEUTICALS INC,0001454789,8,2.0,13,False
Acucela Inc,0001400482,0,,0,False
GLYCOMIMETICS INC,0001253689,3,2.0,4,False
"Carbylan Therapeutics, Inc.",0001348911,4,4.0,4,True
Dicerna Pharmaceuticals Inc,0001399529,0,,0,False
"KEMPHARM, INC",0001434647,0,,0,False
TETRALOGIC PHARMACEUTICALS CORP,0001361248,6,2.0,7,False
GLOBEIMMUNE INC,0001245104,4,2.0,4,False
Cerulean Pharma Inc.,0001401914,0,,0,False
STEMLINE THERAPEUTICS INC,0001264587,0,,0,False
HYPERION THERAPEUTICS INC,0001386858,0,,0,False
"BIND Therapeutics, Inc",0001385228,3,2.0,6,False
"PHASERX, INC.",0001429386,0,,0,False
FIVE PRIME THERAPEUTICS INC,0001175505,2,2.0,2,True
Conatus Pharmaceuticals Inc,0001383701,7,2.0,8,True
PROTEON THERAPEUTICS INC,0001359931,5,3.0,2,False
Virobay Inc,0001374261,4,1.0,2,False
THAR PHARMACEUTICALS INC,0001428369,1,1.0,1,False
aTYR PHARMA INC,0001339970,1,2.0,1,False
"Conkwest, Inc.",0001326110,0,,0,False
VITAL THERAPIES INC,0001280776,7,3.0,7,True
INOTEK PHARMACEUTICALS CORP,0001281895,5,2.0,8,True
KYTHERA BIOPHARMACEUTICALS INC,0001436304,17,3.0,5,False
"CONCERT PHARMACEUTICALS, INC.",0001367920,4,2.0,5,False
AERIE PHARMACEUTICALS INC,0001337553,11,2.0,6,False
"Tobira Therapeutics, Inc.",0001409690,4,2.0,3,False
AILERON THERAPEUTICS INC,0001420565,3,2.0,6,False
Tocagen Inc,0001419041,7,3.0,20,True
"GENOCEA BIOSCIENCES, INC.",0001457612,2,2.0,2,False
TETRAPHASE PHARMACEUTICALS INC,0001373707,3,2.0,3,False
AMBRX INC,0001264647,1,2.0,1,False
"EAGLE PHARMACEUTICALS, INC.",0000827871,1,1.0,1,False
"NephroGenex, Inc.",0001338095,1,2.0,1,False
NGM BIOPHARMACEUTICALS INC,0001426332,10,2.0,8,False
"CHIASMA, INC",0001339469,1,3.0,1,False
"Vitae Pharmaceuticals, Inc",0001157602,1,1.0,1,False
"Onconova Therapeutics, Inc.",0001130598,0,,0,False
CHIMERIX INC,0001117480,0,,0,False
Achaogen Inc,0001301501,7,2.0,7,True
Evoke Pharma Inc,0001403708,1,2.0,5,False
PARATEK PHARMACEUTICALS INC,0001037643,3,3.0,4,True
CONSTELLATION PHARMACEUTICALS INC,0001434418,6,2.0,19,False
AGILE THERAPEUTICS INC,0001261249,7,3.0,3,False
"Cara Therapeutics, Inc.",0001346830,3,2.0,2,False
Ophthotech Corp.,0001410939,7,3.0,4,True
Relypsa Inc,0001416792,5,3.0,6,True
ANTERIOS INC,0001390085,5,2.0,5,False
ProNAi Therapeutics Inc,0001290149,0,,0,False
ALDER BIOPHARMACEUTICALS INC,0001423824,2,1.0,2,False
"BELLICUM PHARMACEUTICALS, INC",0001358403,5,2.0,20,True
MARINUS PHARMACEUTICALS INC,0001267813,8,3.0,8,True
OncoMed Pharmaceuticals Inc,0001302573,11,2.0,8,True
APPLIED GENETIC TECHNOLOGIES CORP,0001273636,0,,0,False
Adamas Pharmaceuticals Inc,0001328143,2,3.0,4,False
PLX PHARMA INC.,0001291520,9,3.0,9,False
Flexion Therapeutics Inc,0001419600,0,,0,False
"ZAFGEN, INC.",0001374690,6,2.0,5,False
