cik,company_name,executive_name,title_context
0001595248,Genprex,Public Affairs,"Robert W. Pearson has served as a member of our board of directors since July 2012. In June 2009, Mr. Pearson joined W2O Group, a global network of complementary marketing, communications, research an"
0001595248,Genprex,Poulenc Rorer,"Robert W. Pearson has served as a member of our board of directors since July 2012. In June 2009, Mr. Pearson joined W2O Group, a global network of complementary marketing, communications, research an"
0001595248,Genprex,North Carolina,"Robert W. Pearson has served as a member of our board of directors since July 2012. In June 2009, Mr. Pearson joined W2O Group, a global network of complementary marketing, communications, research an"
0001595248,Genprex,Fairleigh Dickinson,"Robert W. Pearson has served as a member of our board of directors since July 2012. In June 2009, Mr. Pearson joined W2O Group, a global network of complementary marketing, communications, research an"
0001595248,Genprex,Hong Kong,"Tony S.K. Mok, BMSc, MD, FRCPC, FHKCP, FHKAM (Medicine), is a professor in the Department of Clinical Oncology at the Chinese University of Hong Kong in Prince of Wales Hospital in Hong Kong. Dr. Mok "
0001595248,Genprex,Lung Cancer,"Tony S.K. Mok, BMSc, MD, FRCPC, FHKCP, FHKAM (Medicine), is a professor in the Department of Clinical Oncology at the Chinese University of Hong Kong in Prince of Wales Hospital in Hong Kong. Dr. Mok "
0001595248,Genprex,Chinese Society,"Tony S.K. Mok, BMSc, MD, FRCPC, FHKCP, FHKAM (Medicine), is a professor in the Department of Clinical Oncology at the Chinese University of Hong Kong in Prince of Wales Hospital in Hong Kong. Dr. Mok "
0001595248,Genprex,Charles Soria,"Jean-Charles Soria is Professor of Medicine and Medical Oncology at Paris University XI, head of the phase I program at Institut Gustave Roussy and member of the lung cancer unit with a focus on targe"
0001595248,Genprex,Institut Gustave,"Jean-Charles Soria is Professor of Medicine and Medical Oncology at Paris University XI, head of the phase I program at Institut Gustave Roussy and member of the lung cancer unit with a focus on targe"
0001595248,Genprex,Dr Soria,"Jean-Charles Soria is Professor of Medicine and Medical Oncology at Paris University XI, head of the phase I program at Institut Gustave Roussy and member of the lung cancer unit with a focus on targe"
0001595248,Genprex,Texas Treasury,"Consists of 184,797 shares of common stock issuable upon conversion of Series B preferred stock. Paul Ballard, the Chief Executive Officer of the Texas Treasury Safekeeping Trust Company, holds voting"
