cik,company_name,pubmed_pre_ipo_count,pubmed_query_method,pubmed_authors_queried
0001594864,"Juno Therapeutics, Inc.",779,affiliation,0
0001586105,Egalet Corp,1,affiliation,0
0001552899,"AUDEO ONCOLOGY, INC.",0,affiliation,0
0001739614,"Inhibrx, Inc.",4,affiliation,0
0001539029,"Clearside Biomedical, Inc.",0,affiliation,0
0001635886,"BioCardia, Inc.",4,affiliation,0
0001560241,"G1 Therapeutics, Inc.",0,no_query,0
0001604950,scPharmaceuticals Inc.,3,affiliation,0
0001615219,"Flex Pharma, Inc.",114,affiliation,0
0001613490,MultiVir Inc.,0,affiliation,0
0000921299,FIBROGEN INC,41,affiliation,0
0001564824,Allakos Inc.,6,affiliation,0
0001597553,"Sage Therapeutics, Inc.",554,affiliation,0
0001694665,"Evelo Biosciences, Inc.",11,affiliation,0
0001622229,"Unum Therapeutics, Inc.",33,affiliation,0
0001652923,"AveXis, Inc.",0,affiliation,0
0001588972,"Recro Pharma, Inc.",0,affiliation,0
0001670356,Abpro Corp,0,affiliation,0
0001629137,"Global Blood Therapeutics, Inc.",0,affiliation,0
0001596126,"Dance Biopharm, Inc.",0,affiliation,0
0001718108,"Surface Oncology, Inc.",0,affiliation,0
0001592052,Centrexion Therapeutics Corp,5,affiliation,0
0001505512,Regulus Therapeutics Inc.,10,affiliation,0
0001662524,"AKCEA THERAPEUTICS, INC.",10,affiliation,0
0001510580,"Kite Pharma, Inc.",39,affiliation,0
0001630970,"Accelerated Pharma, Inc.",213,affiliation,0
0001513818,"Versartis, Inc.",1,affiliation,0
0001509190,"ARATANA THERAPEUTICS, INC.",0,affiliation,0
0001731831,"Eidos Therapeutics, Inc.",3,affiliation,0
0001590930,"MICROLIN BIO, INC.",0,affiliation,0
0001552451,MyoKardia Inc,1,affiliation,0
0001571498,"Epizyme, Inc.",20,affiliation,0
0001711786,"Hoth Therapeutics, Inc.",35,affiliation,0
0001750019,TCR2 THERAPEUTICS INC.,9,affiliation,0
0001522602,"CohBar, Inc.",0,affiliation,0
0001534120,Cerecor Inc.,2,affiliation,0
0001695357,"Provention Bio, Inc.",0,affiliation,0
0001595585,"Tricida, Inc.",3,affiliation,0
0001594337,"Corium International, Inc.",2,affiliation,0
0001582636,"ALZHEON, INC.",9,affiliation,0
0001613723,"S1 Biopharma, Inc.",0,affiliation,0
0001587221,Zosano Pharma Corp,6,affiliation,0
0001527599,"Mirna Therapeutics, Inc.",82,affiliation,0
0001581720,"Loxo Oncology, Inc.",0,affiliation,0
0001574235,"Ruthigen, Inc.",0,affiliation,0
0001525145,"Peloton Therapeutics, Inc.",38,affiliation,0
0001662774,"Cortexyme, Inc.",3,affiliation,0
0001693415,"Translate Bio, Inc.",0,affiliation,0
0001029125,"Sun BioPharma, Inc.",0,affiliation,0
0001602413,"Vyrix Pharmaceuticals, Inc.",0,affiliation,0
0001609727,"Synthorx, Inc.",1,affiliation,0
0001679363,"Morphic Holding, Inc.",8,affiliation,0
0001724344,Entasis Therapeutics Holdings Inc.,19,affiliation,0
0001681087,"AVROBIO, Inc.",3,affiliation,0
0001636050,Axovant Sciences Ltd.,0,affiliation,0
0001509697,"Civitas Therapeutics, Inc.",9,affiliation,0
0001760542,HOOKIPA Pharma Inc.,9,affiliation,0
0001667633,"Forty Seven, Inc.",0,affiliation,0
0001689066,Sunset Island Group,0,affiliation,0
0001638287,Gemphire Therapeutics Inc.,2,affiliation,0
0001664106,"LogicBio Therapeutics, Inc.",1,affiliation,0
0001601485,Angion Biomedica Corp.,0,affiliation,0
0001785173,"89bio, Inc.",0,affiliation,0
0001609351,"Spark Therapeutics, Inc.",176,affiliation,0
0001501756,"Avalanche Biotechnologies, Inc.",0,affiliation,0
0001753483,Dermavant Sciences Ltd,0,affiliation,0
0001563855,SOPHIRIS BIO INC.,0,affiliation,0
0001745999,Beam Therapeutics Inc.,2584,affiliation,0
0001538928,Viamet Pharmaceuticals Holdings LLC,4,affiliation,0
0001614067,"Aridis Pharmaceuticals, Inc.",10,affiliation,0
0001656634,"Gritstone Oncology, Inc.",0,affiliation,0
0001734517,"Viela Bio, Inc.",0,affiliation,0
0001636282,"Aeglea BioTherapeutics, Inc.",2,affiliation,0
0001674365,Aptinyx Inc.,13,affiliation,0
0001659352,"Codiak BioSciences, Inc.",22,affiliation,0
0001702956,"Cirius Therapeutics, Inc.",4,affiliation,0
0001654151,"Deciphera Pharmaceuticals, Inc.",11,affiliation,0
0001640455,"Jounce Therapeutics, Inc.",7,affiliation,0
0001513157,"Lumena Pharmaceuticals, Inc.",1,affiliation,0
0001673772,"RAPT Therapeutics, Inc.",1,affiliation,0
0001709401,"Rubius Therapeutics, Inc.",7,affiliation,0
0001597264,Blueprint Medicines Corp,0,affiliation,0
0001685071,"Dova Pharmaceuticals, Inc.",1,affiliation,0
0001638851,"Inpellis, Inc.",0,affiliation,0
0001619087,SteadyMed Ltd.,1,affiliation,0
0001557883,"Dermira, Inc.",2,affiliation,0
