company_name,cik,bucket,latest_periodic_filing,deregistration_date,form25_date
"Tobira Therapeutics, Inc.",1409690,stalled_filing,,,
AILERON THERAPEUTICS INC,1420565,actively_filing,2026-05-15,,
Tocagen Inc,1419041,actively_filing,2026-05-11,,
"GENOCEA BIOSCIENCES, INC.",1457612,deregistered_or_delisted,2022-05-05,2022-06-13,2022-06-02
TETRAPHASE PHARMACEUTICALS INC,1373707,deregistered_or_delisted,2020-05-07,2020-08-31,2020-07-28
AMBRX INC,1264647,stalled_filing,,,
"EAGLE PHARMACEUTICALS, INC.",827871,deregistered_or_delisted,2023-08-09,2025-01-24,2024-11-26
"NephroGenex, Inc.",1338095,deregistered_or_delisted,2016-03-29,,2016-05-19
NGM BIOPHARMACEUTICALS INC,1426332,deregistered_or_delisted,2024-04-04,2024-04-15,2024-04-05
"CHIASMA, INC",1339469,deregistered_or_delisted,2021-05-05,2021-08-11,2021-08-05
"Vitae Pharmaceuticals, Inc",1157602,deregistered_or_delisted,2016-08-04,2016-11-04,2016-10-25
"Onconova Therapeutics, Inc.",1130598,actively_filing,2026-05-15,,2021-07-23
CHIMERIX INC,1117480,deregistered_or_delisted,2025-04-16,2025-05-01,2025-04-21
Achaogen Inc,1301501,deregistered_or_delisted,2019-04-01,2019-08-16,2019-05-02
Evoke Pharma Inc,1403708,deregistered_or_delisted,2025-11-13,2025-12-30,2025-12-17
PARATEK PHARMACEUTICALS INC,1037643,stalled_filing,,,
CONSTELLATION PHARMACEUTICALS INC,1434418,deregistered_or_delisted,2021-05-10,2021-07-26,2021-07-15
AGILE THERAPEUTICS INC,1261249,deregistered_or_delisted,2024-08-12,2024-09-30,2024-06-03
"Cara Therapeutics, Inc.",1346830,actively_filing,2026-05-08,,
Ophthotech Corp.,1410939,deregistered_or_delisted,2023-05-10,2023-07-21,2023-07-11
Relypsa Inc,1416792,deregistered_or_delisted,2016-08-04,2016-09-12,2016-09-01
ANTERIOS INC,1390085,stalled_filing,,,
ProNAi Therapeutics Inc,1290149,deregistered_or_delisted,2022-05-06,2022-07-11,2022-07-01
ALDER BIOPHARMACEUTICALS INC,1423824,deregistered_or_delisted,2019-08-06,2019-11-01,2019-10-22
"BELLICUM PHARMACEUTICALS, INC",1358403,deregistered_or_delisted,2023-11-14,2024-03-01,2023-07-10
MARINUS PHARMACEUTICALS INC,1267813,deregistered_or_delisted,2024-11-12,2025-02-21,2025-02-11
OncoMed Pharmaceuticals Inc,1302573,deregistered_or_delisted,2019-03-07,2019-05-03,2019-04-23
APPLIED GENETIC TECHNOLOGIES CORP,1273636,deregistered_or_delisted,2022-11-21,2022-12-12,2022-12-01
Adamas Pharmaceuticals Inc,1328143,deregistered_or_delisted,2021-11-10,2021-12-06,2021-11-24
PLX PHARMA INC.,1291520,stalled_filing,,,
Flexion Therapeutics Inc,1419600,deregistered_or_delisted,2021-11-12,2021-11-29,2021-11-19
"ZAFGEN, INC.",1374690,actively_filing,2026-05-14,,
Aquestive Therapeutics Inc,1398733,actively_filing,2026-05-13,,
Amphastar Pharmaceuticals Inc,1297184,actively_filing,2026-05-07,,
PTC Therapeutics Inc,1070081,actively_filing,2026-05-07,,
Atossa Genetics Inc,1488039,actively_filing,2026-05-08,,
