company_name,cik,bucket,latest_periodic_filing,deregistration_date,form25_date
Viking Therapeutics Inc,1607678,actively_filing,2026-04-30,,2021-04-08
Urogen Pharma Ltd,1668243,actively_filing,2026-05-06,,
Zymeworks Inc,1937653,actively_filing,2026-05-07,,2022-12-15
Beyondspring Inc,1677940,actively_filing,2026-05-13,,
AnaptysBio Inc,1370053,actively_filing,2026-05-12,,
AC Immune SA,1651625,stalled_filing,,,
Protagonist Therapeutics Inc,1377121,actively_filing,2026-05-05,,
Moleculin Biotech Inc,1659617,actively_filing,2026-05-14,,
Corvus Pharmaceuticals Inc,1626971,actively_filing,2026-05-07,,
Editas Medicine Inc,1650664,actively_filing,2026-05-05,,
Aclaris Therapeutics Inc,1557746,actively_filing,2026-05-07,,
Collegium Pharmaceutical Inc,1267565,actively_filing,2026-05-07,,
Seres Therapeutics Inc,1609809,actively_filing,2026-05-05,,
vTv Therapeutics Inc,1641489,actively_filing,2026-05-13,,
Regenxbio Inc,1590877,actively_filing,2026-05-14,,
CytomX Therapeutics Inc,1501989,actively_filing,2026-05-07,,
WaVe Life Sciences Ltd,1631574,actively_filing,2026-04-30,,
Voyager Therapeutics Inc,1640266,actively_filing,2026-05-07,,
Axsome Therapeutics Inc,1579428,actively_filing,2026-05-04,,
Lipocine Inc.,1535955,actively_filing,2026-05-07,,
"Stellar Biotechnologies, Inc.",1540159,actively_filing,2026-05-14,,
LBC Bioscience Inc.,1683743,stalled_filing,,,
Patheon N.V.,1643848,deregistered_or_delisted,2017-06-09,2017-09-13,2017-09-01
"Oncolix, Inc.",1584137,stalled_filing,2018-11-19,,
Aptalis Holdings Inc.,1588172,stalled_filing,,,
"Poseida Therapeutics, Inc.",1661460,deregistered_or_delisted,2024-11-07,2025-01-21,2025-01-08
"AntriaBio, Inc.",1509261,actively_filing,2026-05-12,,
"CARDAX, INC.",1544238,stalled_filing,2021-05-14,,
"Neurotrope, Inc.",1513856,deregistered_or_delisted,2020-11-09,,2020-12-02
"Health-Right Discoveries, Inc.",1537663,stalled_filing,2020-11-18,,
Osmotica Pharmaceuticals plc,1739426,deregistered_or_delisted,2023-08-14,,2023-11-20
Aralez Pharmaceuticals Inc.,1660719,deregistered_or_delisted,2018-05-08,,2018-09-27
"Dynamic Nutra Enterprises Holdings, Inc.",1520512,stalled_filing,2015-04-21,,
"Ignyta, Inc.",1557421,deregistered_or_delisted,2017-11-07,2018-02-20,2018-02-08
